ChoraleID,EventNum,C,C#/Db,D,D#/Eb,E,F,F#/Gb,G,G#/Ab,A,A#/Bb,B,Bass,Meter,Chord
000106b_,37,True,False,False,False,True,False,False,False,False,True,False,False,C,3,A_m
000106b_,38,True,False,False,False,True,False,False,True,False,True,False,False,C,2,A_m
000106b_,39,False,False,True,False,False,True,False,False,False,True,True,False,D,4,C_M7
000106b_,40,True,False,False,False,True,False,False,True,False,False,True,False,E,2,C_M7
000106b_,41,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,42,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,43,True,False,False,False,False,True,False,True,False,False,False,False,C,5,C_M4
000106b_,44,True,False,False,False,False,True,False,True,False,True,False,False,C,2,C_M4
000106b_,45,True,False,False,False,False,True,False,True,False,True,False,False,C,1,C_M4
000106b_,46,True,False,False,False,True,False,False,True,False,False,True,False,C,3,C_M7
000106b_,47,True,False,False,False,True,False,False,True,False,False,True,False,C,2,C_M7
000106b_,48,True,False,False,False,True,False,False,True,False,False,True,False,C,1,C_M7
000106b_,49,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,50,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,51,True,False,False,False,True,False,False,True,False,False,False,False,E,5,C_M
000106b_,52,True,False,False,False,True,False,False,True,False,False,False,False,E,2,C_M
000106b_,53,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,54,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,55,False,False,True,False,False,True,False,False,False,True,False,False,D,4,D_m
000106b_,56,False,False,True,False,False,True,False,False,False,True,False,False,D,2,D_m
000106b_,57,True,False,False,False,False,True,False,False,False,True,False,False,A,3,F_M
000106b_,58,True,False,False,False,False,True,False,False,False,True,False,False,A,2,F_M
000106b_,59,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,60,False,False,True,False,False,True,False,False,False,False,True,False,Bb,1,BbM
000106b_,61,True,False,True,False,False,True,False,False,False,True,True,False,C,2,BbM
000106b_,62,True,False,True,False,False,True,False,True,False,False,True,False,C,1,BbM
000106b_,63,False,False,True,False,False,True,False,False,False,False,True,False,D,3,BbM
000106b_,64,False,False,True,False,True,True,False,True,False,False,True,False,E,2,BbM
000106b_,65,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,66,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,67,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,68,False,False,True,False,False,True,False,True,False,False,True,False,Bb,2,BbM
000106b_,69,False,False,True,False,False,True,False,False,False,True,True,False,Bb,1,BbM
000106b_,70,False,False,False,False,True,False,False,True,False,True,True,False,A,3,C_M7
000106b_,71,True,False,False,False,True,False,False,True,False,False,True,False,G,2,C_M7
000106b_,72,False,False,False,False,True,False,False,True,False,False,True,False,G,1,C_M7
000106b_,73,True,False,False,False,False,True,False,False,False,True,False,False,A,4,F_M
000106b_,74,False,False,True,False,False,True,False,True,False,False,False,True,B,2,F_M
000106b_,75,True,False,False,False,True,False,False,True,False,False,False,False,C,3,C_M
000106b_,76,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M
000106b_,77,True,False,True,False,False,True,False,False,False,True,False,False,F,5,D_m7
000106b_,78,False,False,True,False,True,True,False,False,False,True,False,True,F,2,D_m7
000106b_,79,False,False,True,False,True,True,False,False,False,True,False,False,F,1,D_m7
000106b_,80,False,False,True,False,False,False,False,True,False,False,False,True,G,3,G_M
000106b_,81,True,False,False,False,True,False,False,True,False,False,False,False,C,4,C_M
000106b_,82,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,83,False,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,84,False,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,85,False,False,True,False,False,True,False,True,False,False,True,False,Bb,2,BbM
000106b_,86,True,False,False,False,True,False,False,False,False,True,False,False,C,3,A_m
000106b_,87,True,False,False,False,True,False,False,True,False,True,False,False,C,2,A_m
000106b_,88,False,False,True,False,False,True,False,False,False,True,True,False,D,4,C_M7
000106b_,89,True,False,False,False,True,False,False,True,False,False,True,False,E,2,C_M7
000106b_,90,True,False,False,False,False,True,False,False,False,True,False,False,F,3,F_M
000106b_,91,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,92,True,False,False,False,False,True,False,True,False,False,False,False,C,5,C_M4
000106b_,93,True,False,False,False,False,True,False,True,False,True,False,False,C,2,C_M4
000106b_,94,True,False,False,False,False,True,False,True,False,True,False,False,C,1,C_M4
000106b_,95,True,False,False,False,True,False,False,True,False,False,True,False,C,3,C_M7
000106b_,96,True,False,False,False,True,False,False,True,False,False,True,False,C,2,C_M7
000106b_,97,True,False,False,False,True,False,False,True,False,False,True,False,C,1,C_M7
000106b_,98,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,99,True,False,False,False,True,False,False,True,False,False,False,False,E,5,C_M
000106b_,100,True,False,False,False,True,False,False,True,False,False,False,False,E,2,C_M
000106b_,101,True,False,False,False,True,False,False,True,False,False,False,False,E,1,C_M
000106b_,102,True,False,False,False,True,False,False,True,False,False,False,False,E,3,C_M
000106b_,103,True,False,False,False,True,False,False,True,False,False,False,False,E,1,C_M
000106b_,104,True,False,False,False,True,False,False,True,False,False,False,False,E,2,C_M
000106b_,105,True,False,False,False,True,False,False,True,False,False,False,False,E,1,C_M
000106b_,106,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,107,True,False,False,False,False,True,False,True,False,False,False,False,C,5,C_M4
000106b_,108,True,False,False,False,False,True,False,False,False,False,False,False,C,1,C_M4
000106b_,109,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M4
000106b_,110,True,False,True,False,False,False,False,False,False,True,False,False,C,1,C_M4
000106b_,111,True,False,False,False,True,False,False,True,False,False,False,False,C,3,C_M
000106b_,112,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000106b_,113,True,False,False,False,False,True,False,False,False,True,False,False,F,5,F_M
000106b_,114,True,False,False,False,False,True,False,True,False,True,False,False,G,2,F_M
000106b_,115,True,False,False,False,False,True,False,False,False,True,False,False,A,3,F_M
000106b_,116,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,117,True,False,False,False,True,False,False,True,False,False,False,False,C,4,C_M
000106b_,118,True,False,True,False,True,False,False,True,False,False,True,False,D,2,C_M
000106b_,119,True,False,True,False,True,False,False,True,False,True,False,False,D,1,C_M
000106b_,120,True,False,False,False,True,False,False,True,False,False,True,False,E,3,C_M7
000106b_,121,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M7
000106b_,122,True,False,False,False,True,False,False,True,False,False,True,False,C,1,C_M7
000106b_,123,True,False,False,False,False,True,False,False,False,True,False,False,F,5,F_M
000106b_,124,True,False,False,False,False,True,False,True,False,True,False,False,G,2,F_M
000106b_,125,True,False,False,False,False,True,False,False,False,True,False,False,A,3,F_M
000106b_,126,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,127,True,False,False,False,True,False,False,True,False,False,False,False,C,4,C_M
000106b_,128,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M
000106b_,129,True,False,False,False,False,True,False,False,False,True,True,False,Bb,3,F_M
000106b_,130,True,False,False,False,False,True,False,False,False,True,False,False,A,2,F_M
000106b_,131,False,False,True,False,False,False,False,True,False,False,True,False,C,5,G_m
000106b_,132,False,False,True,False,False,True,False,True,False,False,True,False,C,2,G_m
000106b_,133,False,False,True,False,True,False,False,True,False,False,True,False,C,1,G_m
000106b_,134,False,False,True,False,False,True,False,False,False,True,False,False,D,3,D_m
000106b_,135,True,False,True,False,True,True,False,False,False,True,False,False,C,2,D_m
000106b_,136,False,False,True,False,False,True,False,True,False,False,True,False,Bb,4,G_m
000106b_,137,False,False,True,False,False,True,False,True,False,False,True,False,Bb,2,G_m
000106b_,138,True,False,False,False,True,False,False,True,False,False,False,False,C,3,C_M
000106b_,139,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M
000106b_,140,True,False,False,False,True,False,False,True,False,False,False,False,C,1,C_M
000106b_,141,True,False,False,False,False,True,False,False,False,True,False,False,F,5,F_M
000106b_,142,False,False,True,False,False,True,False,False,False,True,False,False,D,4,D_m
000106b_,143,False,False,True,False,False,True,False,True,False,True,False,False,D,1,D_m
000106b_,144,False,False,True,False,False,True,False,False,False,True,False,False,F,2,D_m
000106b_,145,False,False,True,False,False,True,False,False,False,True,True,False,F,1,D_m
000106b_,146,True,False,False,False,True,False,False,False,False,True,False,False,A,3,A_m
000106b_,147,True,False,False,False,True,False,False,True,False,True,False,False,A,2,A_m
000106b_,148,True,False,True,False,False,True,False,False,False,False,True,False,Bb,5,BbM
000106b_,149,False,False,True,False,False,True,False,False,False,False,True,False,D,2,BbM
000106b_,150,True,False,False,False,False,True,False,False,False,False,True,False,F,3,F_M
000106b_,151,True,False,False,False,False,True,False,False,False,True,False,False,F,2,F_M
000106b_,152,False,False,False,False,False,True,False,True,False,True,True,False,G,4,C_M7
000106b_,153,False,False,False,False,True,False,False,True,False,False,True,False,G,2,C_M7
000106b_,154,True,False,False,False,False,False,False,True,False,True,False,False,A,3,F_M
000106b_,155,False,False,True,False,False,True,False,False,False,True,False,False,D,2,F_M
000106b_,156,False,False,True,False,False,True,False,True,False,False,False,True,B,5,G_M7
000106b_,157,False,False,True,False,False,True,False,True,False,False,False,True,B,2,G_M7
000106b_,158,True,False,False,False,True,False,False,True,False,False,False,False,C,3,C_M
000106b_,159,True,False,False,False,True,True,False,True,False,False,False,False,C,1,C_M
000106b_,160,True,False,False,False,True,False,False,True,False,False,False,False,C,2,C_M
000106b_,161,True,False,False,False,True,False,False,True,False,False,False,False,C,1,C_M
000106b_,162,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000206b_,1,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,2,False,False,True,False,False,False,False,True,False,False,True,False,G,5,G_m
000206b_,3,True,False,False,False,False,False,True,False,False,True,False,False,A,3,F#d
000206b_,4,False,False,True,False,False,False,False,True,False,False,True,False,Bb,4,G_m
000206b_,5,False,False,True,False,False,False,False,True,False,True,True,False,A,3,G_m
000206b_,6,False,False,True,False,False,False,False,True,False,False,True,False,G,2,G_m
000206b_,7,False,False,True,False,False,False,True,False,False,True,False,False,F#,5,D_M
000206b_,8,True,False,True,False,False,False,True,False,False,True,False,False,F#,2,D_M
000206b_,9,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,10,False,False,True,False,False,False,True,False,False,True,False,False,D,4,D_M
000206b_,11,True,False,False,True,False,False,False,False,True,False,False,False,C,3,AbM
000206b_,12,False,True,False,False,True,False,False,True,False,False,True,False,C#,5,C#d7
000206b_,13,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,14,True,False,True,False,False,False,True,False,False,True,False,False,D,2,D_M
000206b_,15,False,True,False,False,True,False,False,True,False,False,True,False,E,4,C#d7
000206b_,16,True,False,True,False,False,False,True,False,False,True,False,False,F#,3,D_M7
000206b_,17,False,False,True,False,False,False,False,True,False,False,True,False,G,5,G_m
000206b_,18,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,19,False,False,True,False,False,False,False,False,False,True,False,False,D,1,D_M
000206b_,20,True,False,True,False,False,False,False,False,False,True,False,False,D,2,D_M
000206b_,21,False,False,True,False,False,False,False,True,False,False,True,False,G,4,G_m
000206b_,22,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,23,False,False,True,False,False,False,False,True,False,False,True,False,G,5,G_m
000206b_,24,True,False,False,False,False,False,True,False,False,True,False,False,A,3,F#d
000206b_,25,False,False,True,False,False,False,False,True,False,False,True,False,Bb,4,G_m
000206b_,26,False,False,True,False,False,False,False,True,False,True,True,False,A,3,G_m
000206b_,27,False,False,True,False,False,False,False,True,False,False,True,False,G,2,G_m
000206b_,28,False,False,True,False,False,False,True,False,False,True,False,False,F#,5,D_M
000206b_,29,True,False,True,False,False,False,True,False,False,True,False,False,F#,2,D_M
000206b_,30,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,31,False,False,True,False,False,False,True,False,False,True,False,False,D,4,D_M
000206b_,32,True,False,False,True,False,False,False,False,True,False,False,False,C,3,AbM
000206b_,33,False,True,False,False,True,False,False,True,False,False,True,False,C#,5,C#d7
000206b_,34,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,35,True,False,True,False,False,False,True,False,False,True,False,False,D,2,D_M
000206b_,36,False,True,False,False,True,False,False,True,False,False,True,False,E,4,C#d7
000206b_,37,True,False,True,False,False,False,True,False,False,True,False,False,F#,3,D_M7
000206b_,38,False,False,True,False,False,False,False,True,False,False,True,False,G,5,G_m
000206b_,39,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,40,False,False,True,False,False,False,False,False,False,True,False,False,D,1,D_M
000206b_,41,True,False,True,False,False,False,False,False,False,True,False,False,D,2,D_M
000206b_,42,False,False,True,False,False,False,False,True,False,False,True,False,G,4,G_m
000206b_,43,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,44,False,True,False,False,True,False,False,False,False,True,False,False,C#,5,A_M
000206b_,45,False,False,True,False,False,True,False,False,False,True,False,False,D,3,D_m
000206b_,46,False,True,False,False,True,False,False,False,False,True,False,False,A,4,A_M
000206b_,47,False,True,False,False,True,False,False,True,False,True,False,False,G,2,A_M
000206b_,48,False,False,True,False,False,True,False,False,False,True,False,False,F,3,D_m
000206b_,49,False,False,True,False,True,False,False,False,False,True,False,False,E,2,D_m
000206b_,50,False,False,True,False,False,True,False,False,False,True,False,False,D,5,D_m
000206b_,51,True,False,True,False,False,True,False,False,False,True,False,False,C,2,D_m
000206b_,52,False,False,True,False,False,False,False,True,False,False,True,False,Bb,3,G_m
000206b_,53,False,True,False,False,True,False,False,False,False,True,False,False,A,4,A_M
000206b_,54,False,False,True,False,False,True,False,False,False,True,False,False,D,3,D_m
000206b_,55,True,False,True,False,False,True,False,False,False,True,False,False,D,2,D_m
000206b_,56,False,False,False,True,False,False,False,True,False,False,True,False,Eb,5,EbM
000206b_,57,True,False,False,True,False,False,False,True,False,True,False,False,Eb,2,EbM
000206b_,58,False,False,True,False,False,True,False,False,False,False,True,False,D,3,BbM
000206b_,59,False,False,True,False,True,False,False,True,False,False,True,False,E,2,BbM
000206b_,60,True,False,False,False,False,True,False,False,False,True,False,False,F,4,F_M
000206b_,61,True,False,False,True,False,False,False,True,False,True,False,False,Eb,2,F_M7
000206b_,62,False,False,True,False,False,False,True,False,False,False,True,False,D,3,D_M7
000206b_,63,True,False,True,False,False,False,True,False,False,False,True,False,C,2,D_M7
000206b_,64,False,False,True,False,False,False,False,True,False,False,True,False,Bb,5,G_m
000206b_,65,True,False,False,True,False,False,False,True,False,False,False,False,C,2,C_m
000206b_,66,False,False,True,False,False,False,True,False,False,True,False,False,D,3,D_M
000206b_,67,False,False,True,False,False,False,False,True,False,False,True,False,G,4,G_m
000206b_,68,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,69,False,False,True,False,False,False,True,False,False,True,False,False,F#,5,D_M
000206b_,70,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,71,False,False,True,False,False,True,False,True,False,False,True,False,F,2,G_m
000206b_,72,True,False,False,True,False,False,False,True,False,False,False,False,Eb,4,C_m
000206b_,73,True,False,True,True,False,False,False,True,False,False,False,False,D,2,C_m
000206b_,74,True,False,True,False,False,True,False,True,False,False,False,False,C,3,G_M7
000206b_,75,False,False,True,False,False,True,False,True,False,False,False,True,B,2,G_M7
000206b_,76,True,False,False,True,False,False,False,True,False,False,False,False,C,5,C_m
000206b_,77,False,False,True,False,False,False,False,True,False,False,True,False,G,3,G_m
000206b_,78,False,True,False,False,False,False,False,True,False,True,False,False,A,4,A_M
000206b_,79,False,False,True,False,False,True,False,False,False,True,False,False,A,2,D_m
000206b_,80,False,False,True,False,True,False,False,False,False,True,False,False,A,3,A_M4
000206b_,81,False,True,False,False,True,False,False,False,False,True,False,False,A,2,A_M
000206b_,82,False,False,True,False,False,False,True,False,False,True,False,False,D,5,D_M
000306b_,1,False,True,False,False,False,False,False,False,False,True,False,False,A,3,A_M
000306b_,2,False,False,True,False,False,False,False,False,False,True,False,True,A,2,A_M
000306b_,3,False,True,False,False,True,False,False,False,False,True,False,False,A,5,A_M
000306b_,4,False,False,True,False,True,False,False,False,False,True,False,True,B,2,A_M
000306b_,5,False,True,False,False,True,False,False,False,False,True,False,False,C#,3,A_M
000306b_,6,False,False,True,False,False,False,True,False,False,True,False,False,D,4,D_M
000306b_,7,False,False,True,False,True,False,False,False,True,True,False,False,E,2,D_M
000306b_,8,False,True,False,False,False,False,True,False,False,True,False,False,F#,3,F#m
000306b_,9,False,True,False,False,True,False,False,False,True,True,False,False,E,2,F#m
000306b_,10,False,False,False,True,False,False,True,False,False,False,False,True,D#,5,B_M
000306b_,11,False,False,False,True,False,False,True,False,False,True,False,True,D#,2,B_M
000306b_,12,False,False,False,False,True,False,False,False,True,False,False,False,E,3,E_M
000306b_,13,False,False,False,False,True,False,False,False,True,True,False,False,E,2,E_M
000306b_,14,False,False,False,True,False,False,True,False,False,False,False,True,B,4,B_M
000306b_,15,False,False,False,True,False,False,True,False,False,False,False,True,B,3,B_M
000306b_,16,False,False,False,True,False,False,True,False,False,True,False,True,A,2,B_M
000306b_,17,False,False,False,False,True,False,False,False,True,False,False,True,G#,5,E_M
000306b_,18,False,False,False,False,True,False,False,False,True,True,False,True,A,2,E_M
000306b_,19,False,False,False,True,False,False,True,False,True,True,False,False,G#,3,D#d
000306b_,20,False,False,False,True,False,False,True,False,False,True,False,False,F#,2,D#d
000306b_,21,False,False,False,False,True,False,True,False,True,False,False,True,E,4,B_M
000306b_,22,False,False,False,True,False,False,True,False,False,True,False,True,F#,2,B_M
000306b_,23,False,False,False,False,True,False,False,False,True,False,False,True,G#,3,E_M
000306b_,24,False,True,False,False,True,False,True,False,False,True,False,False,A,2,E_M
000306b_,25,False,False,False,False,True,False,False,False,True,False,False,True,B,5,E_M
000306b_,26,False,False,False,False,False,False,True,False,False,True,False,True,B,2,E_M
000306b_,27,False,False,False,True,False,False,True,False,False,False,False,True,B,3,B_M
000306b_,28,False,False,False,True,False,False,True,False,False,True,False,True,B,2,B_M
000306b_,29,False,False,False,False,True,False,False,False,True,False,False,True,E,4,E_M
000306b_,30,False,False,False,False,True,False,False,False,True,False,False,True,E,3,E_M
000306b_,31,False,True,False,False,True,False,False,False,False,True,False,False,A,5,A_M
000306b_,32,False,True,False,False,False,False,True,False,True,True,False,False,G#,2,A_M
000306b_,33,False,True,False,False,False,False,True,False,True,False,False,False,F#,3,C#M
000306b_,34,False,True,False,False,False,True,False,False,True,False,False,False,F,2,C#M
000306b_,35,False,True,False,False,False,False,True,False,False,True,False,False,F#,4,F#m
000306b_,36,False,False,True,False,True,False,False,False,True,False,False,True,E,2,F#m7
000306b_,37,False,True,True,False,True,False,False,False,False,False,True,False,D,3,A#d
000306b_,38,False,True,False,False,True,False,False,False,False,False,True,False,C#,2,A#d
000306b_,39,False,False,True,False,False,False,True,False,False,False,False,True,B,5,B_m
000306b_,40,False,False,True,False,False,False,False,False,True,False,False,True,B,2,B_m
000306b_,41,False,True,False,False,True,False,False,False,False,True,False,False,C#,3,A_M
000306b_,42,False,True,True,False,False,False,True,False,False,True,False,False,D,2,A_M
000306b_,43,False,False,False,False,True,False,False,False,True,False,False,True,E,4,E_M
000306b_,44,False,True,False,False,False,False,True,False,False,True,False,False,F#,3,F#m
000306b_,45,False,False,False,False,True,False,False,False,True,False,False,True,G#,5,E_M
000306b_,46,False,False,True,False,False,False,False,False,True,False,False,True,G#,2,E_M
000306b_,47,False,True,False,False,True,False,False,False,False,True,False,False,A,3,A_M
000306b_,48,False,True,False,True,False,False,True,False,False,True,False,False,A,2,A_M
000306b_,49,False,False,False,False,True,False,False,False,True,False,False,True,E,4,E_M
000306b_,50,False,False,True,False,True,False,False,False,True,False,False,True,E,2,E_M
000306b_,51,False,True,False,False,False,False,True,False,False,True,False,False,F#,3,F#m
000306b_,52,False,True,False,False,True,False,False,False,False,True,False,False,E,2,F#m
000306b_,53,False,False,False,True,False,False,True,False,False,True,False,True,D#,5,B_M
000306b_,54,False,True,False,True,False,False,True,False,False,True,False,False,D#,2,B_M
000306b_,55,False,False,True,False,True,False,False,False,True,False,False,False,E,3,E_M7
000306b_,56,False,True,False,False,True,False,False,False,False,True,False,False,A,4,A_M
000408b_,1,False,False,False,False,True,False,False,True,False,False,False,True,E,3,E_m
000408b_,2,False,False,True,False,True,False,False,True,False,False,False,True,E,2,E_m
000408b_,3,False,True,False,False,False,False,True,False,False,False,True,False,F#,5,F#M
000408b_,4,False,True,False,False,True,False,True,False,False,False,True,False,E,2,F#M
000408b_,5,False,False,True,False,False,False,True,False,False,False,False,True,D,3,B_m
000408b_,6,False,True,False,False,False,False,True,False,False,False,True,False,C#,2,F#M
000408b_,7,False,False,True,False,False,False,True,False,False,False,False,True,B,4,B_m
000408b_,8,False,True,False,False,True,False,True,False,False,False,True,False,A#,3,F#M7
000408b_,9,False,False,True,False,False,False,True,False,False,False,False,True,B,5,B_m
000408b_,10,False,True,False,False,False,False,True,False,False,False,True,False,F#,3,F#M
000408b_,11,False,True,False,False,True,False,True,False,False,False,True,False,F#,2,F#M
000408b_,12,False,False,False,True,False,False,True,False,False,False,False,True,B,4,B_M
000408b_,13,False,False,False,True,False,False,True,False,False,False,False,True,D#,3,B_M
000408b_,14,False,False,False,False,True,False,False,True,False,False,False,True,E,5,E_m
000408b_,15,True,False,False,False,True,False,False,True,False,False,False,False,E,2,E_m
000408b_,16,False,False,True,False,False,False,True,False,False,True,False,True,F#,3,D_M
000408b_,17,False,False,True,False,False,False,True,False,False,True,False,False,F#,2,D_M
000408b_,18,False,False,True,False,False,False,False,True,False,False,False,True,G,4,G_M
000408b_,19,False,False,False,True,False,False,True,False,False,True,False,True,F#,2,B_M7
000408b_,20,False,False,False,False,True,False,False,False,False,True,False,True,E,3,E_m
000408b_,21,False,False,False,False,True,False,False,True,False,False,False,True,E,2,E_m
000408b_,22,True,False,False,False,True,False,True,False,False,True,False,False,A,5,A_m6
000408b_,23,True,False,False,False,True,False,False,False,False,False,False,True,B,2,A_m6
000408b_,24,True,False,False,False,True,False,False,False,False,False,False,False,C,1,A_m6
000408b_,25,False,False,False,True,False,False,True,False,False,False,False,True,B,3,B_M
000408b_,26,False,False,False,True,False,False,True,False,False,True,False,True,B,2,B_M
000408b_,27,False,False,False,False,True,False,False,True,False,False,False,True,E,4,E_m
000408b_,28,False,False,False,False,True,False,False,True,False,False,False,True,E,3,E_m
000408b_,29,False,False,True,False,True,False,False,True,False,False,False,True,E,2,E_m
000408b_,30,False,True,False,False,False,False,True,False,False,False,True,False,F#,5,F#M
000408b_,31,False,True,False,False,True,False,True,False,False,False,True,False,E,2,F#M
000408b_,32,False,False,True,False,False,False,True,False,False,False,False,True,D,3,B_m
000408b_,33,False,True,False,False,False,False,True,False,False,False,True,False,C#,2,F#M
000408b_,34,False,False,True,False,False,False,True,False,False,False,False,True,B,4,B_m
000408b_,35,False,True,False,False,True,False,True,False,False,False,True,False,A#,3,F#M7
000408b_,36,False,False,True,False,False,False,True,False,False,False,False,True,B,5,B_m
000408b_,37,False,True,False,False,False,False,True,False,False,False,True,False,F#,3,F#M
000408b_,38,False,True,False,False,True,False,True,False,False,False,True,False,F#,2,F#M
000408b_,39,False,False,False,True,False,False,True,False,False,False,False,True,B,4,B_M
000408b_,40,False,False,False,True,False,False,True,False,False,False,False,True,D#,3,B_M
000408b_,41,False,False,False,False,True,False,False,True,False,False,False,True,E,5,E_m
000408b_,42,True,False,False,False,True,False,False,True,False,False,False,False,E,2,E_m
000408b_,43,False,False,True,False,False,False,True,False,False,True,False,True,F#,3,D_M
000408b_,44,False,False,True,False,False,False,True,False,False,True,False,False,F#,2,D_M
000408b_,45,False,False,True,False,False,False,False,True,False,False,False,True,G,4,G_M
000408b_,46,False,False,False,True,False,False,True,False,False,True,False,True,F#,2,B_M7
000408b_,47,False,False,False,False,True,False,False,False,False,True,False,True,E,3,E_m
000408b_,48,False,False,False,False,True,False,False,True,False,False,False,True,E,2,E_m
000408b_,49,True,False,False,False,True,False,True,False,False,True,False,False,A,5,A_m6
000408b_,50,True,False,False,False,True,False,False,False,False,False,False,True,B,2,A_m6
000408b_,51,True,False,False,False,True,False,False,False,False,False,False,False,C,1,A_m6
